WE(1).Potential (V),WE(1).Current (A),Corrected time (s)
3.221435547,-2.699066162,1993.999995
3.221435547,-2.699066162,1994.199995
3.221435547,-2.699615479,1994.399995
3.221435547,-2.698516846,1994.599995
3.221130371,-2.698791504,1994.799995
3.221130371,-2.701812744,1994.999995
3.221130371,-2.698242188,1995.199995
3.221130371,-2.69934082,1995.399995
3.220825195,-2.699615479,1995.599995
3.220825195,-2.699615479,1995.799995
3.220825195,-2.698242188,1995.999995
3.220825195,-2.69934082,1996.199995
3.22052002,-2.698791504,1996.399995
3.22052002,-2.699615479,1996.599995
3.22052002,-2.698791504,1996.799995
3.22052002,-2.69934082,1996.999995
3.22052002,-2.698791504,1997.199995
3.220214844,-2.698516846,1997.399995
3.220214844,-2.698516846,1997.599995
3.220214844,-2.698791504,1997.799995
3.220214844,-2.698242188,1997.999995
3.220214844,-2.699066162,1998.199995
3.219909668,-2.698791504,1998.399995
3.219909668,-2.698791504,1998.599995
3.219909668,-2.699066162,1998.799995
3.219909668,-2.69934082,1998.999995
3.219909668,-2.701812744,1999.199995
3.219604492,-2.699066162,1999.399995
3.219604492,-2.69934082,1999.599995
3.219604492,-2.698791504,1999.799995
3.219604492,-2.699066162,1999.999995
3.219604492,-2.699066162,2000.199995
3.219299316,-2.698791504,2000.399995
3.219299316,-2.698516846,2000.599995
3.219299316,-2.698791504,2000.799995
3.219299316,-2.699066162,2000.999995
3.219299316,-2.699066162,2001.199995
3.218994141,-2.699066162,2001.399995
3.218994141,-2.698791504,2001.599995
3.218994141,-2.698242188,2001.799995
3.218994141,-2.699890137,2001.999995
3.218688965,-2.698791504,2002.199995
3.218688965,-2.699066162,2002.399995
3.218688965,-2.699066162,2002.599995
3.218688965,-2.697692871,2002.799995
3.218688965,-2.699890137,2002.999995
3.218383789,-2.699066162,2003.199995
3.218383789,-2.698791504,2003.399995
3.218383789,-2.699066162,2003.599995
3.218383789,-2.69934082,2003.799995
3.218383789,-2.699066162,2003.999995
3.218078613,-2.699066162,2004.199995
3.218078613,-2.699615479,2004.399995
3.218078613,-2.698242188,2004.599995
3.218078613,-2.69934082,2004.799995
3.218078613,-2.691101074,2004.999995
3.217773438,-2.699066162,2005.199995
3.217773438,-2.69934082,2005.399995
3.217773438,-2.69934082,2005.599995
3.217773438,-2.698242188,2005.799995
3.217468262,-2.698791504,2005.999995
3.217468262,-2.698516846,2006.199995
3.217468262,-2.698791504,2006.399995
3.217468262,-2.699066162,2006.599995
